document,label
Pizza is great and I love pizza.,Positive
I hate burger and its bad to eat burger.,Negative
I hate dirty tables.,Negative
Burger is amazing and I love it more than anything,Positive
My boss is a monster and I hate him,Negative
The food was delivered late and I hate late delivery,Negative
My wife love pizza and burger more than me,Positive
the table was bad and dirty and i hate this,Negative
Food was delicious and I love it,Positive
It great to have good food at good time,Positive
icecream was not good.,Negative
icecream was not bad.,Positive
Pizza was not bad.,Positive
Burger was bad.,Negative
juice was not good.,Negative
juice was good.,Positive
ketchup was bad.,Negative
ketchup was good.,Positive
Ketchup with pizza is great and good I love it,Positive
I hate ketchup with pizza and it is bad  and it is not good,Negative
